STARTING!
Duplicate flags: num_threads
Min num runs: [50]
Min runs duration (seconds): [1]
Max runs duration (seconds): [150]
Inter-run delay (seconds): [-1]
Num threads: [4]
Benchmark name: []
Output prefix: []
Min warmup runs: [1]
Min warmup runs duration (seconds): [0.5]
Graph: [/working_dir/tensorflow-models/iccd2020/resnet-v2-float/resnet_v2_101_299.tflite]
Input layers: []
Input shapes: []
Input value ranges: []
Input layer values files: []
Allow fp16 : [0]
Require full delegation : [0]
Enable op profiling: [1]
Max profiling buffer entries: [1024]
CSV File to export profiling data to: []
Enable platform-wide tracing: [0]
#threads used for CPU inference: [4]
Max number of delegated partitions : [0]
Min nodes per partition : [0]
External delegate path : []
External delegate options : []
Use gpu : [0]
Use xnnpack : [0]
Loaded model /working_dir/tensorflow-models/iccd2020/resnet-v2-float/resnet_v2_101_299.tflite
The input model file size (MB): 178.331
Initialized session in 0.836ms.
Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
count=3 first=346445 curr=149322 min=149322 max=346445 avg=215711 std=92446

Running benchmark for at least 50 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
count=50 first=150684 curr=147651 min=142386 max=174578 avg=146639 std=4540

Inference timings in us: Init: 836, First inference: 346445, Warmup (avg): 215711, Inference (avg): 146639
Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
Peak memory footprint (MB): init=11.0117 overall=367.785
Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	         AllocateTensors	            0.000	    0.222	    0.222	100.000%	100.000%	     0.000	        1	AllocateTensors/0

============================== Top by Computation Time ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	         AllocateTensors	            0.000	    0.222	    0.222	100.000%	100.000%	     0.000	        1	AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
	             [Node type]	  [count]	  [avg ms]	    [avg %]	    [cdf %]	  [mem KB]	[times called]
	         AllocateTensors	        1	     0.222	   100.000%	   100.000%	     0.000	        1

Timings (microseconds): count=1 curr=222
Memory (bytes): count=0
1 nodes observed



Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                     PAD	            0.000	    0.092	    0.083	  0.057%	  0.057%	     0.000	        1	[resnet_v2_101/Pad]:0
	                 CONV_2D	            0.083	    3.908	    3.663	  2.498%	  2.555%	     0.000	        1	[resnet_v2_101/conv1/BiasAdd]:1
	             MAX_POOL_2D	            3.746	    0.745	    0.730	  0.498%	  3.052%	     0.000	        1	[resnet_v2_101/pool1/MaxPool]:2
	                     MUL	            4.476	    0.086	    0.082	  0.056%	  3.108%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/preact/FusedBatchNorm_mul_0]:3
	                     ADD	            4.557	    0.083	    0.083	  0.056%	  3.165%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/preact/Relu]:4
	                 CONV_2D	            4.640	    1.238	    1.180	  0.805%	  3.970%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/shortcut/BiasAdd]:5
	                 CONV_2D	            5.821	    0.407	    0.408	  0.278%	  4.248%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/conv1/Relu]:6
	                 CONV_2D	            6.229	    1.974	    1.993	  1.359%	  5.607%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/conv2/Relu]:7
	                 CONV_2D	            8.222	    1.256	    1.213	  0.827%	  6.434%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/conv3/BiasAdd]:8
	                     ADD	            9.435	    0.723	    0.653	  0.445%	  6.880%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/add]:9
	                     MUL	           10.088	    0.510	    0.504	  0.344%	  7.224%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/preact/FusedBatchNorm_mul_0]:10
	                     ADD	           10.592	    0.445	    0.439	  0.300%	  7.523%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/preact/Relu]:11
	                 CONV_2D	           11.032	    1.018	    1.026	  0.700%	  8.223%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/conv1/Relu]:12
	                 CONV_2D	           12.058	    2.002	    2.003	  1.366%	  9.589%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/conv2/Relu]:13
	                 CONV_2D	           14.061	    1.227	    1.213	  0.827%	 10.417%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/conv3/BiasAdd]:14
	                     ADD	           15.274	    0.710	    0.658	  0.449%	 10.865%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/add]:15
	                     MUL	           15.932	    0.410	    0.404	  0.276%	 11.141%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/preact/FusedBatchNorm_mul_0]:16
	                     ADD	           16.337	    0.437	    0.437	  0.298%	 11.439%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/preact/Relu]:17
	             MAX_POOL_2D	           16.774	    0.269	    0.268	  0.183%	 11.622%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/shortcut/MaxPool]:18
	                 CONV_2D	           17.043	    1.055	    1.051	  0.717%	 12.339%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/conv1/Relu]:19
	                     PAD	           18.094	    0.056	    0.053	  0.036%	 12.375%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/Pad]:20
	                 CONV_2D	           18.147	    0.636	    0.619	  0.422%	 12.798%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/conv2/Relu]:21
	                 CONV_2D	           18.766	    0.403	    0.372	  0.254%	 13.052%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/conv3/BiasAdd]:22
	                     ADD	           19.139	    0.160	    0.141	  0.096%	 13.148%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/add]:23
	                     MUL	           19.280	    0.081	    0.073	  0.050%	 13.198%	     0.000	        1	[resnet_v2_101/block2/unit_1/bottleneck_v2/preact/FusedBatchNorm_mul_0]:24
	                     ADD	           19.354	    0.078	    0.077	  0.053%	 13.251%	     0.000	        1	[resnet_v2_101/block2/unit_1/bottleneck_v2/preact/Relu]:25
	                 CONV_2D	           19.431	    1.780	    1.762	  1.202%	 14.453%	     0.000	        1	[resnet_v2_101/block2/unit_1/bottleneck_v2/shortcut/BiasAdd]:26
	                 CONV_2D	           21.193	    0.543	    0.537	  0.366%	 14.819%	     0.000	        1	[resnet_v2_101/block2/unit_1/bottleneck_v2/conv1/Relu]:27
	                 CONV_2D	           21.730	    1.876	    1.889	  1.288%	 16.107%	     0.000	        1	[resnet_v2_101/block2/unit_1/bottleneck_v2/conv2/Relu]:28
	                 CONV_2D	           23.619	    1.054	    1.032	  0.704%	 16.811%	     0.000	        1	[resnet_v2_101/block2/unit_1/bottleneck_v2/conv3/BiasAdd]:29
	                     ADD	           24.651	    0.350	    0.326	  0.222%	 17.033%	     0.000	        1	[resnet_v2_101/block2/unit_1/bottleneck_v2/add]:30
	                     MUL	           24.977	    0.226	    0.214	  0.146%	 17.179%	     0.000	        1	[resnet_v2_101/block2/unit_2/bottleneck_v2/preact/FusedBatchNorm_mul_0]:31
	                     ADD	           25.191	    0.178	    0.177	  0.121%	 17.299%	     0.000	        1	[resnet_v2_101/block2/unit_2/bottleneck_v2/preact/Relu]:32
	                 CONV_2D	           25.368	    0.923	    0.947	  0.646%	 17.946%	     0.000	        1	[resnet_v2_101/block2/unit_2/bottleneck_v2/conv1/Relu]:33
	                 CONV_2D	           26.315	    1.881	    1.893	  1.291%	 19.237%	     0.000	        1	[resnet_v2_101/block2/unit_2/bottleneck_v2/conv2/Relu]:34
