STARTING!
Duplicate flags: num_threads
Min num runs: [50]
Min runs duration (seconds): [1]
Max runs duration (seconds): [150]
Inter-run delay (seconds): [-1]
Num threads: [4]
Benchmark name: []
Output prefix: []
Min warmup runs: [1]
Min warmup runs duration (seconds): [0.5]
Graph: [/working_dir/tensorflow-models/iccd2020/resnet-v2-float/resnet_v2_101_299.tflite]
Input layers: []
Input shapes: []
Input value ranges: []
Input layer values files: []
Allow fp16 : [0]
Require full delegation : [0]
Enable op profiling: [1]
Max profiling buffer entries: [1024]
CSV File to export profiling data to: []
Enable platform-wide tracing: [0]
#threads used for CPU inference: [4]
Max number of delegated partitions : [0]
Min nodes per partition : [0]
External delegate path : []
External delegate options : []
Use gpu : [0]
Use xnnpack : [0]
Loaded model /working_dir/tensorflow-models/iccd2020/resnet-v2-float/resnet_v2_101_299.tflite
The input model file size (MB): 178.331
Initialized session in 0.902ms.
Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
count=3 first=297140 curr=103532 min=100128 max=297140 avg=166933 std=92080

Running benchmark for at least 50 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
count=50 first=120846 curr=115027 min=113974 max=124617 avg=118603 std=3044

Inference timings in us: Init: 902, First inference: 297140, Warmup (avg): 166933, Inference (avg): 118603
Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
Peak memory footprint (MB): init=11 overall=366.207
Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	         AllocateTensors	            0.000	    0.191	    0.191	100.000%	100.000%	     0.000	        1	AllocateTensors/0

============================== Top by Computation Time ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	         AllocateTensors	            0.000	    0.191	    0.191	100.000%	100.000%	     0.000	        1	AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
	             [Node type]	  [count]	  [avg ms]	    [avg %]	    [cdf %]	  [mem KB]	[times called]
	         AllocateTensors	        1	     0.191	   100.000%	   100.000%	     0.000	        1

Timings (microseconds): count=1 curr=191
Memory (bytes): count=0
1 nodes observed



Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                     PAD	            0.000	    0.099	    0.095	  0.080%	  0.080%	     0.000	        1	[resnet_v2_101/Pad]:0
	                 CONV_2D	            0.095	    3.984	    3.633	  3.064%	  3.144%	     0.000	        1	[resnet_v2_101/conv1/BiasAdd]:1
	             MAX_POOL_2D	            3.728	    1.018	    0.919	  0.775%	  3.919%	     0.000	        1	[resnet_v2_101/pool1/MaxPool]:2
	                     MUL	            4.647	    0.131	    0.109	  0.092%	  4.011%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/preact/FusedBatchNorm_mul_0]:3
	                     ADD	            4.756	    0.110	    0.105	  0.088%	  4.099%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/preact/Relu]:4
	                 CONV_2D	            4.861	    1.108	    1.059	  0.893%	  4.992%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/shortcut/BiasAdd]:5
	                 CONV_2D	            5.920	    0.404	    0.394	  0.332%	  5.324%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/conv1/Relu]:6
	                 CONV_2D	            6.314	    1.457	    1.502	  1.267%	  6.591%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/conv2/Relu]:7
	                 CONV_2D	            7.816	    1.045	    1.066	  0.899%	  7.490%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/conv3/BiasAdd]:8
	                     ADD	            8.882	    0.696	    0.757	  0.639%	  8.129%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/add]:9
	                     MUL	            9.640	    0.574	    0.561	  0.473%	  8.602%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/preact/FusedBatchNorm_mul_0]:10
	                     ADD	           10.201	    0.547	    0.505	  0.426%	  9.028%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/preact/Relu]:11
	                 CONV_2D	           10.707	    0.740	    0.804	  0.678%	  9.706%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/conv1/Relu]:12
	                 CONV_2D	           11.511	    1.510	    1.465	  1.235%	 10.942%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/conv2/Relu]:13
