STARTING!
Duplicate flags: num_threads
Min num runs: [50]
Min runs duration (seconds): [1]
Max runs duration (seconds): [150]
Inter-run delay (seconds): [-1]
Num threads: [1]
Benchmark name: []
Output prefix: []
Min warmup runs: [1]
Min warmup runs duration (seconds): [0.5]
Graph: [/working_dir/tensorflow-models/iccd2020/resnet-v2-float/resnet_v2_101_299.tflite]
Input layers: []
Input shapes: []
Input value ranges: []
Input layer values files: []
Allow fp16 : [0]
Require full delegation : [0]
Enable op profiling: [1]
Max profiling buffer entries: [1024]
CSV File to export profiling data to: []
Enable platform-wide tracing: [0]
#threads used for CPU inference: [1]
Max number of delegated partitions : [0]
Min nodes per partition : [0]
External delegate path : []
External delegate options : []
Use gpu : [0]
Use xnnpack : [0]
Loaded model /working_dir/tensorflow-models/iccd2020/resnet-v2-float/resnet_v2_101_299.tflite
The input model file size (MB): 178.331
Initialized session in 0.743ms.
Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
count=2 first=270902 curr=248717 min=248717 max=270902 avg=259810 std=11092

Running benchmark for at least 50 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
count=50 first=258093 curr=253768 min=251051 max=264417 avg=254902 std=1873

Inference timings in us: Init: 743, First inference: 270902, Warmup (avg): 259810, Inference (avg): 254902
Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
Peak memory footprint (MB): init=10.9023 overall=200.457
Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	         AllocateTensors	            0.000	    0.145	    0.145	100.000%	100.000%	     0.000	        1	AllocateTensors/0

============================== Top by Computation Time ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	         AllocateTensors	            0.000	    0.145	    0.145	100.000%	100.000%	     0.000	        1	AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
	             [Node type]	  [count]	  [avg ms]	    [avg %]	    [cdf %]	  [mem KB]	[times called]
	         AllocateTensors	        1	     0.145	   100.000%	   100.000%	     0.000	        1

Timings (microseconds): count=1 curr=145
Memory (bytes): count=0
1 nodes observed



Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                     PAD	            0.000	    0.104	    0.082	  0.032%	  0.032%	     0.000	        1	[resnet_v2_101/Pad]:0
	                 CONV_2D	            0.082	    5.960	    5.953	  2.336%	  2.368%	     0.000	        1	[resnet_v2_101/conv1/BiasAdd]:1
	             MAX_POOL_2D	            6.035	    0.685	    0.691	  0.271%	  2.639%	     0.000	        1	[resnet_v2_101/pool1/MaxPool]:2
	                     MUL	            6.727	    0.094	    0.096	  0.038%	  2.677%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/preact/FusedBatchNorm_mul_0]:3
	                     ADD	            6.823	    0.099	    0.100	  0.039%	  2.716%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/preact/Relu]:4
	                 CONV_2D	            6.923	    1.895	    1.898	  0.745%	  3.461%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/shortcut/BiasAdd]:5
	                 CONV_2D	            8.822	    0.514	    0.529	  0.208%	  3.669%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/conv1/Relu]:6
	                 CONV_2D	            9.351	    5.063	    5.121	  2.009%	  5.678%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/conv2/Relu]:7
	                 CONV_2D	           14.472	    1.872	    1.905	  0.747%	  6.425%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/conv3/BiasAdd]:8
	                     ADD	           16.378	    0.612	    0.664	  0.261%	  6.686%	     0.000	        1	[resnet_v2_101/block1/unit_1/bottleneck_v2/add]:9
	                     MUL	           17.042	    0.402	    0.406	  0.159%	  6.845%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/preact/FusedBatchNorm_mul_0]:10
	                     ADD	           17.448	    0.421	    0.422	  0.166%	  7.011%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/preact/Relu]:11
	                 CONV_2D	           17.871	    1.887	    1.880	  0.738%	  7.748%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/conv1/Relu]:12
	                 CONV_2D	           19.751	    4.678	    4.751	  1.864%	  9.612%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/conv2/Relu]:13
	                 CONV_2D	           24.502	    1.871	    1.888	  0.741%	 10.353%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/conv3/BiasAdd]:14
	                     ADD	           26.391	    0.654	    0.729	  0.286%	 10.639%	     0.000	        1	[resnet_v2_101/block1/unit_2/bottleneck_v2/add]:15
	                     MUL	           27.119	    0.445	    0.419	  0.164%	 10.803%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/preact/FusedBatchNorm_mul_0]:16
	                     ADD	           27.539	    0.403	    0.391	  0.153%	 10.957%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/preact/Relu]:17
	             MAX_POOL_2D	           27.930	    0.341	    0.341	  0.134%	 11.091%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/shortcut/MaxPool]:18
	                 CONV_2D	           28.271	    1.820	    1.871	  0.734%	 11.825%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/conv1/Relu]:19
	                     PAD	           30.143	    0.049	    0.049	  0.019%	 11.844%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/Pad]:20
	                 CONV_2D	           30.192	    1.073	    1.124	  0.441%	 12.285%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/conv2/Relu]:21
	                 CONV_2D	           31.316	    0.472	    0.481	  0.189%	 12.474%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/conv3/BiasAdd]:22
	                     ADD	           31.796	    0.113	    0.137	  0.054%	 12.527%	     0.000	        1	[resnet_v2_101/block1/unit_3/bottleneck_v2/add]:23
	                     MUL	           31.933	    0.073	    0.076	  0.030%	 12.557%	     0.000	        1	[resnet_v2_101/block2/unit_1/bottleneck_v2/preact/FusedBatchNorm_mul_0]:24
